ts,cpu_percent,rss_mb,power_w,energy_j_total
1759842971.3087595,358.90,499.60,0.000,0.000000
1759842972.308704,38.00,505.10,20.109,20.107859
1759842973.308802,83.00,546.50,18.496,38.605553
1759842974.3086874,38.00,572.75,17.817,56.420205
1759842975.3086882,39.00,783.62,19.978,76.398608
1759842976.3089173,18.00,839.37,9.828,86.228478
1759842977.3087049,42.00,841.50,7.915,94.141971
1759842978.3088942,27.00,841.50,5.990,100.133289
1759842979.308726,45.00,843.62,18.435,118.565492
1759842980.3088787,26.00,845.12,14.725,133.292994
1759842981.308658,40.00,847.62,11.304,144.594723
1759842982.3086987,13.00,847.62,8.387,152.981969
1759842983.308706,55.00,849.12,11.995,164.976873
1759842984.3088374,22.00,849.37,8.545,173.522749
1759842985.3087997,32.00,849.37,9.973,183.495258
1759842986.3089218,14.00,849.62,7.979,191.474974
1759842987.3089201,24.00,849.87,8.986,200.460607
1759842988.3088071,21.00,850.12,9.213,209.672132
1759842989.3088,41.00,850.37,10.403,220.074693
1759842990.3088076,15.00,850.50,7.762,227.837063
1759842991.3088048,34.00,850.75,10.446,238.282715
1759842992.3088074,18.00,851.00,8.315,246.597635
1759842993.3088074,43.00,851.37,10.710,257.307874
1759842994.3088043,32.00,852.37,9.254,266.561390
1759842995.3086553,54.00,852.62,11.778,278.337666
1759842996.308693,31.00,852.62,9.211,287.549374
1759842997.3087351,44.00,852.62,13.016,300.565698
1759842998.3088071,16.00,852.62,8.057,308.623111
1759842999.3088076,29.00,853.50,9.910,318.532632
1759843000.3087306,15.00,853.50,7.839,326.370930
1759843001.3086886,28.00,853.75,9.888,336.258111
1759843002.3086915,30.00,854.37,11.325,347.582789
1759843003.3088822,28.00,854.62,10.037,357.621399
1759843004.3088093,7.00,854.62,6.745,364.365461
1759843005.3087115,38.00,855.00,10.644,375.008195
1759843006.308919,12.00,855.00,7.643,382.652829
1759843007.308925,28.00,855.12,10.129,392.781953
1759843008.3088877,32.00,855.12,9.899,402.680244
1759843009.3088858,29.00,855.12,9.701,412.381452
1759843010.3088057,16.00,855.12,8.095,420.476035
1759843011.3088045,33.00,855.12,10.645,431.121455
1759843012.3088133,20.00,855.12,10.753,441.874540
1759843013.308726,54.00,855.50,11.918,453.791441
1759843014.30869,10.00,855.50,7.996,461.787209
1759843015.308657,46.00,855.50,11.550,473.336435
1759843016.3086553,17.00,855.62,8.157,481.493030
1759843017.3087013,47.00,855.62,12.187,493.680560
1759843018.3088064,25.00,855.75,9.250,502.931391
1759843019.3086884,42.00,855.75,11.085,514.015103
1759843020.3087428,21.00,855.75,8.580,522.595525
1759843021.3087447,40.00,855.75,10.832,533.427528
1759843022.3086867,16.00,855.87,9.185,542.612441
1759843023.3088925,31.00,856.12,10.029,552.643300
1759843024.308769,24.00,856.25,9.005,561.647000
1759843025.308802,35.00,856.25,10.628,572.275696
1759843026.3088975,14.00,856.25,8.323,580.599771
1759843027.3089209,52.00,856.50,14.104,594.703800
1759843028.308889,29.00,856.50,9.891,604.594766
1759843029.3087053,42.00,856.50,11.475,616.067759
