ts,rps,avg_ms,p50_ms,p95_ms,ok,err
1759846818,0,,,,0,0
1759846819,24,36.344,13.325,125.429,24,0
1759846820,0,,,,0,0
1759846821,24,48.042,20.326,91.772,24,0
1759846822,0,,,,0,0
1759846823,24,36.785,15.408,110.468,24,0
1759846824,0,,,,0,0
1759846825,24,39.875,15.325,97.653,24,0
1759846826,0,,,,0,0
1759846827,24,25.120,11.525,83.738,24,0
1759846828,0,,,,0,0
1759846829,0,,,,0,0
1759846830,0,,,,0,0
1759846831,48,45.558,17.166,88.408,48,0
1759846832,0,,,,0,0
1759846833,24,35.629,13.339,106.016,24,0
1759846834,0,,,,0,0
1759846835,24,57.656,85.530,119.789,24,0
1759846836,0,,,,0,0
1759846837,24,34.519,13.478,85.424,24,0
1759846838,0,,,,0,0
1759846839,24,25.718,12.384,82.640,24,0
1759846840,0,,,,0,0
1759846841,24,38.733,15.516,86.541,24,0
1759846842,0,,,,0,0
1759846843,24,38.840,13.945,87.881,24,0
1759846844,0,,,,0,0
1759846845,0,,,,0,0
1759846846,0,,,,0,0
1759846847,48,39.758,13.988,108.632,48,0
1759846848,0,,,,0,0
1759846849,24,40.249,13.200,111.579,24,0
1759846850,0,,,,0,0
1759846851,0,,,,0,0
1759846852,0,,,,0,0
1759846853,0,,,,0,0
1759846854,0,,,,0,0
1759846855,0,,,,0,0
1759846856,0,,,,0,0
1759846857,0,,,,0,0
1759846858,0,,,,0,0
1759846859,0,,,,0,0
1759846860,0,,,,0,0
1759846861,0,,,,0,0
1759846862,0,,,,0,0
1759846863,0,,,,0,0
1759846864,0,,,,0,0
1759846865,0,,,,0,0
1759846866,0,,,,0,0
1759846867,0,,,,0,0
1759846868,0,,,,0,0
1759846869,0,,,,0,0
1759846870,0,,,,0,0
1759846871,0,,,,0,0
1759846872,0,,,,0,0
1759846873,0,,,,0,0
1759846874,0,,,,0,0
1759846875,0,,,,0,0
1759846876,0,,,,0,0
1759846877,0,,,,0,0
1759846878,0,,,,0,0
1759846879,0,,,,0,0
1759846880,374,38.430,14.346,108.833,374,0
1759846881,0,,,,0,0
1759846882,0,,,,0,0
1759846883,0,,,,0,0
1759846884,0,,,,0,0
1759846885,0,,,,0,0
1759846886,0,,,,0,0
1759846887,0,,,,0,0
1759846888,96,32.583,12.321,108.753,96,0
1759846889,0,,,,0,0
1759846890,0,,,,0,0
1759846891,0,,,,0,0
1759846892,47,37.599,13.609,88.039,47,0
1759846893,0,,,,0,0
1759846894,0,,,,0,0
1759846895,0,,,,0,0
1759846896,48,41.134,13.105,117.150,48,0
1759846897,0,,,,0,0
1759846898,25,39.855,12.036,97.953,25,0
1759846899,0,,,,0,0
1759846900,24,35.647,15.748,88.251,24,0
1759846901,0,,,,0,0
1759846902,24,27.982,11.797,84.930,24,0
1759846903,0,,,,0,0
1759846904,23,31.524,11.558,85.801,23,0
1759846905,0,,,,0,0
1759846906,24,36.785,14.578,84.707,24,0
1759846907,0,,,,0,0
1759846908,24,32.057,14.988,85.727,24,0
1759846909,0,,,,0,0
1759846910,25,45.049,11.551,124.667,25,0
1759846911,0,,,,0,0
1759846912,25,40.364,17.570,85.777,25,0
1759846913,0,,,,0,0
1759846914,21,47.967,17.185,109.628,21,0
1759846915,0,,,,0,0
1759846916,24,51.651,17.288,119.345,24,0
1759846917,0,,,,0,0
1759846918,25,33.147,12.857,107.761,25,0
1759846919,0,,,,0,0
1759846920,24,31.188,13.300,84.567,24,0
1759846921,0,,,,0,0
1759846922,0,,,,0,0
1759846923,0,,,,0,0
1759846924,48,30.517,12.351,86.804,48,0
1759846925,0,,,,0,0
1759846926,21,55.629,81.811,116.885,21,0
1759846927,0,,,,0,0
1759846928,27,33.151,16.490,82.573,27,0
1759846929,0,,,,0,0
1759846930,22,51.257,12.676,112.394,22,0
1759846931,0,,,,0,0
1759846932,23,60.195,81.723,115.745,23,0
1759846933,0,,,,0,0
1759846934,27,51.714,83.952,111.044,27,0
1759846935,0,,,,0,0
1759846936,23,43.384,16.051,90.240,23,0
1759846937,0,,,,0,0
1759846938,23,40.115,14.046,107.145,23,0
1759846939,0,,,,0,0
1759846940,27,39.809,13.396,85.942,27,0
1759846941,0,,,,0,0
1759846942,19,33.167,14.063,81.875,19,0
1759846943,0,,,,0,0
1759846944,24,44.873,28.016,122.893,24,0
1759846945,0,,,,0,0
1759846946,23,32.724,13.435,84.811,23,0
1759846947,0,,,,0,0
1759846948,24,43.188,13.456,84.746,24,0
1759846949,0,,,,0,0
1759846950,24,39.732,14.028,84.331,24,0
1759846951,0,,,,0,0
1759846952,24,29.384,13.767,82.817,24,0
1759846953,0,,,,0,0
1759846954,24,40.903,16.146,114.433,24,0
1759846955,0,,,,0,0
1759846956,24,52.715,78.768,116.861,24,0
1759846957,0,,,,0,0
1759846958,24,55.158,82.705,108.274,24,0
1759846959,0,,,,0,0
1759846960,24,25.606,8.310,81.030,24,0
1759846961,0,,,,0,0
1759846962,24,35.292,13.883,87.106,24,0
1759846963,0,,,,0,0
1759846964,24,32.517,12.018,106.041,24,0
1759846965,0,,,,0,0
1759846966,24,25.473,12.330,111.473,24,0
1759846967,0,,,,0,0
1759846968,24,41.225,14.133,87.991,24,0
1759846969,0,,,,0,0
1759846970,24,28.627,12.797,83.776,24,0
1759846971,0,,,,0,0
1759846972,24,37.039,11.954,108.234,24,0
1759846973,0,,,,0,0
1759846974,24,21.535,9.875,89.105,24,0
1759846975,0,,,,0,0
1759846976,24,18.084,10.283,81.537,24,0
1759846977,0,,,,0,0
1759846978,24,28.930,11.653,97.657,24,0
1759846979,0,,,,0,0
1759846980,24,40.338,13.621,83.748,24,0
1759846981,0,,,,0,0
1759846982,24,34.649,10.902,112.194,24,0
1759846983,0,,,,0,0
1759846984,24,53.693,81.335,123.367,24,0
1759846985,0,,,,0,0
1759846986,24,42.914,13.019,93.449,24,0
1759846987,0,,,,0,0
1759846988,0,,,,0,0
1759846989,0,,,,0,0
1759846990,48,32.853,13.534,90.842,48,0
1759846991,0,,,,0,0
1759846992,24,47.602,15.261,119.488,24,0
1759846993,0,,,,0,0
1759846994,24,43.876,13.402,124.885,24,0
1759846995,0,,,,0,0
1759846996,24,21.317,10.611,80.470,24,0
1759846997,0,,,,0,0
1759846998,24,25.584,12.640,83.309,24,0
1759846999,0,,,,0,0
1759847000,24,21.347,10.071,84.720,24,0
1759847001,0,,,,0,0
1759847002,24,31.684,11.538,84.764,24,0
1759847003,0,,,,0,0
1759847004,24,34.829,11.281,99.980,24,0
1759847005,0,,,,0,0
1759847006,24,35.508,13.983,84.623,24,0
1759847007,0,,,,0,0
1759847008,24,31.618,12.682,94.157,24,0
1759847009,0,,,,0,0
1759847010,24,26.035,9.906,102.861,24,0
1759847011,0,,,,0,0
1759847012,24,44.617,16.364,87.992,24,0
1759847013,0,,,,0,0
1759847014,24,53.316,82.849,110.659,24,0
1759847015,0,,,,0,0
1759847016,24,38.656,13.029,87.540,24,0
1759847017,0,,,,0,0
1759847018,24,38.474,13.830,85.917,24,0
1759847019,0,,,,0,0
1759847020,24,37.082,12.703,84.694,24,0
1759847021,0,,,,0,0
1759847022,24,40.632,13.740,88.452,24,0
1759847023,0,,,,0,0
1759847024,24,28.812,13.653,83.313,24,0
1759847025,0,,,,0,0
1759847026,24,36.332,13.582,89.621,24,0
1759847027,0,,,,0,0
1759847028,24,39.321,11.253,115.618,24,0
1759847029,0,,,,0,0
1759847030,24,40.166,12.285,87.203,24,0
1759847031,0,,,,0,0
1759847032,24,42.413,13.782,105.258,24,0
1759847033,0,,,,0,0
1759847034,0,,,,0,0
1759847035,0,,,,0,0
1759847036,48,38.283,12.662,107.975,48,0
1759847037,0,,,,0,0
1759847038,24,46.466,51.587,87.476,24,0
1759847039,0,,,,0,0
1759847040,24,24.239,10.372,82.058,24,0
1759847041,0,,,,0,0
1759847042,24,30.630,12.062,82.449,24,0
1759847043,0,,,,0,0
1759847044,24,27.865,11.488,84.455,24,0
1759847045,0,,,,0,0
1759847046,24,34.619,12.870,84.016,24,0
1759847047,0,,,,0,0
1759847048,24,39.573,11.891,120.517,24,0
1759847049,0,,,,0,0
1759847050,24,42.886,13.834,92.281,24,0
1759847051,0,,,,0,0
1759847052,24,28.746,13.123,107.175,24,0
1759847053,0,,,,0,0
1759847054,24,24.796,12.721,83.640,24,0
1759847055,0,,,,0,0
1759847056,24,52.191,80.754,124.388,24,0
1759847057,0,,,,0,0
1759847058,0,,,,0,0
1759847059,46,84.312,58.726,195.944,46,0
1759847060,0,,,,0,0
1759847061,0,,,,0,0
1759847062,0,,,,0,0
1759847063,0,,,,0,0
1759847064,114,91.697,68.359,194.153,114,0
1759847065,0,,,,0,0
1759847066,0,,,,0,0
1759847067,0,,,,0,0
1759847068,119,52.602,21.994,173.757,119,0
1759847069,0,,,,0,0
1759847070,0,,,,0,0
1759847071,0,,,,0,0
1759847072,0,,,,0,0
1759847073,105,89.743,36.694,218.647,105,0
1759847074,0,,,,0,0
1759847075,0,,,,0,0
1759847076,0,,,,0,0
1759847077,120,50.342,19.285,170.094,120,0
1759847078,0,,,,0,0
1759847079,0,,,,0,0
1759847080,0,,,,0,0
1759847081,0,,,,0,0
1759847082,111,53.818,15.736,165.135,111,0
1759847083,0,,,,0,0
1759847084,0,,,,0,0
1759847085,0,,,,0,0
1759847086,117,53.874,15.369,159.417,117,0
1759847087,0,,,,0,0
1759847088,0,,,,0,0
1759847089,0,,,,0,0
1759847090,0,,,,0,0
1759847091,110,61.284,17.444,170.747,110,0
1759847092,0,,,,0,0
1759847093,0,,,,0,0
1759847094,0,,,,0,0
1759847095,115,84.221,26.372,204.778,115,0
1759847096,0,,,,0,0
1759847097,0,,,,0,0
1759847098,0,,,,0,0
1759847099,0,,,,0,0
1759847100,119,57.351,21.760,173.291,119,0
1759847101,0,,,,0,0
1759847102,0,,,,0,0
1759847103,0,,,,0,0
1759847104,0,,,,0,0
1759847105,108,50.128,15.313,149.750,108,0
1759847106,0,,,,0,0
1759847107,0,,,,0,0
1759847108,0,,,,0,0
1759847109,120,57.343,14.780,184.659,120,0
1759847110,0,,,,0,0
1759847111,0,,,,0,0
1759847112,0,,,,0,0
1759847113,0,,,,0,0
1759847114,104,71.616,21.560,174.689,104,0
1759847115,0,,,,0,0
1759847116,0,,,,0,0
1759847117,0,,,,0,0
1759847118,127,52.042,14.005,161.636,127,0
1759847119,0,,,,0,0
1759847120,0,,,,0,0
1759847121,0,,,,0,0
1759847122,0,,,,0,0
1759847123,103,40.277,11.237,151.791,103,0
1759847124,0,,,,0,0
1759847125,0,,,,0,0
1759847126,0,,,,0,0
1759847127,117,52.421,19.868,156.884,117,0
1759847128,0,,,,0,0
1759847129,0,,,,0,0
1759847130,0,,,,0,0
1759847131,0,,,,0,0
1759847132,123,40.122,12.657,156.542,123,0
1759847133,0,,,,0,0
1759847134,0,,,,0,0
1759847135,0,,,,0,0
1759847136,0,,,,0,0
1759847137,106,69.218,33.357,161.386,106,0
1759847138,0,,,,0,0
1759847139,0,,,,0,0
1759847140,0,,,,0,0
1759847141,121,32.200,9.974,131.597,121,0
