ts,cpu_percent,rss_mb,power_w,energy_j_total
1759846788.964888,133.90,365.69,0.000,0.000000
1759846789.9648058,27.00,367.44,6.695,6.694685
1759846790.9649236,130.00,748.56,16.848,23.544678
1759846791.964896,45.00,748.94,7.511,31.055523
1759846792.9649217,65.00,750.44,11.586,42.642225
1759846793.9649196,44.00,750.44,8.032,50.674675
1759846794.9647737,64.00,750.56,11.849,62.522179
1759846795.964899,33.00,750.94,6.491,69.014472
1759846796.964816,53.00,754.69,9.849,78.862408
1759846797.9649308,39.00,752.51,7.241,86.104272
1759846798.9648037,73.00,753.51,11.766,97.868341
1759846799.9649131,13.00,753.51,4.555,102.423444
1759846800.9649134,55.00,755.51,9.962,112.385149
1759846801.9647212,19.00,755.51,5.672,118.055667
1759846802.9646847,103.00,756.13,14.809,132.864589
1759846803.9648812,14.00,756.13,4.334,137.199234
1759846804.964837,41.00,758.38,7.987,145.186213
1759846805.9649217,13.00,758.38,4.423,149.609846
1759846806.9647982,102.00,758.38,14.589,164.196784
1759846807.9648106,39.00,757.15,7.120,171.317249
1759846808.964701,82.00,758.40,12.662,183.978228
1759846809.9648483,26.00,758.77,6.006,189.985170
1759846810.9649248,102.00,758.77,14.966,204.952112
1759846811.964935,32.00,758.77,5.994,210.946603
1759846812.9649282,84.00,302.54,13.010,223.956946
1759846813.9647079,47.00,448.29,7.916,231.871171
1759846814.9649112,55.00,448.29,10.958,242.831776
1759846815.9648821,20.00,449.29,5.285,248.116796
1759846816.9648075,62.00,449.29,10.740,258.855782
1759846817.9649315,21.00,449.29,5.333,264.189265
1759846818.96492,44.00,449.29,11.024,275.212979
1759846819.9649165,43.00,449.79,10.029,285.242251
1759846820.96491,89.00,451.91,14.177,299.418728
1759846821.9648855,33.00,451.91,6.432,305.850108
1759846822.9648821,60.00,451.91,10.165,316.014938
1759846823.9648821,24.00,451.91,5.270,321.285127
1759846824.9647415,61.00,546.54,11.562,332.845461
1759846825.9649477,14.00,629.04,4.807,337.653249
1759846826.9649308,25.00,681.66,6.818,344.471408
1759846827.96492,26.00,682.66,6.107,350.578265
1759846828.964924,95.00,682.66,14.699,365.277141
1759846829.9648821,7.00,682.66,3.227,368.504061
1759846830.9649112,61.00,682.66,11.104,379.608525
1759846831.9648862,38.00,682.66,6.890,386.498278
1759846832.9646552,62.00,682.66,11.075,397.570637
1759846833.964934,20.00,682.66,5.135,402.707404
1759846834.9648774,92.00,682.66,14.242,416.948823
1759846835.964888,46.00,682.79,8.262,425.210520
1759846836.9647932,48.00,682.79,9.889,435.099045
1759846837.96494,31.00,682.91,6.404,441.504119
1759846838.9649162,34.00,683.04,7.717,449.221140
1759846839.9649196,20.00,683.04,5.668,454.888789
1759846840.9649105,51.00,683.04,10.223,465.111358
1759846841.964802,38.00,683.04,7.042,472.152295
1759846842.964884,68.00,683.04,11.877,484.030194
1759846843.9648826,20.00,682.79,5.241,489.270964
1759846844.9648547,62.00,682.79,11.344,500.615051
1759846845.964704,38.00,682.79,7.447,508.060772
1759846846.96493,47.00,682.79,9.556,517.618609
1759846847.9649422,29.00,682.79,6.317,523.935853
1759846848.9646525,73.00,682.79,12.314,536.246247
1759846849.9649258,20.00,682.79,5.865,542.112992
1759846850.9648895,39.00,683.16,10.389,552.501332
1759846851.9646974,50.00,683.16,8.415,560.914396
1759846852.9646776,45.00,683.16,8.981,569.895025
1759846853.9649289,44.00,683.16,7.676,577.573228
1759846854.964686,52.00,683.16,9.876,587.446616
1759846855.9649193,30.00,683.16,6.559,594.007634
1759846856.9646804,81.00,683.16,12.340,606.344334
1759846857.9649372,33.00,683.16,7.090,613.435868
1759846858.9648566,36.00,683.16,8.079,621.514705
1759846859.9648073,38.00,683.16,7.781,629.295691
1759846860.9648478,66.00,683.16,11.599,640.895149
1759846861.964937,33.00,683.16,6.801,647.696462
1759846862.9647226,87.00,683.16,13.933,661.626114
1759846863.9648907,49.00,683.16,7.851,669.478389
1759846864.964794,50.00,683.16,10.059,679.536834
1759846865.9648542,38.00,683.16,7.361,686.898022
1759846866.9646533,52.00,683.16,10.010,696.906297
1759846867.9649394,20.00,683.16,5.191,702.099094
1759846868.964681,50.00,683.16,8.934,711.030772
1759846869.9648995,27.00,683.16,6.865,717.897088
1759846870.9646792,40.00,683.16,8.463,726.358614
1759846871.964934,30.00,683.16,6.092,732.452593
1759846872.9646816,49.00,683.16,10.776,743.225758
1759846873.9649322,52.00,683.16,8.855,752.082486
1759846874.9646835,51.00,683.16,9.990,762.069948
1759846875.96485,5.00,683.16,2.628,764.698848
1759846876.964683,40.00,683.16,8.352,773.049901
1759846877.9649372,39.00,683.16,9.035,782.087658
1759846878.9646776,32.00,683.16,7.313,789.398492
1759846879.964798,32.00,683.16,7.138,796.537756
1759846880.9646807,78.00,683.54,12.082,808.618047
1759846881.9648979,69.00,683.54,10.856,819.476845
1759846882.9646533,40.00,683.66,8.552,828.027238
1759846883.964888,15.00,683.66,4.186,832.214178
1759846884.9646547,38.00,683.66,8.825,841.036787
1759846885.9648435,22.00,683.66,5.967,847.005034
1759846886.964679,52.00,683.66,9.649,856.651982
1759846887.964931,14.00,683.66,4.627,861.279777
1759846888.9646797,41.00,683.66,8.284,869.561556
1759846889.9649355,44.00,683.66,9.403,878.966561
1759846890.9646811,35.00,683.66,7.819,886.783679
1759846891.9649355,32.00,683.66,7.370,894.155365
1759846892.964684,55.00,683.66,9.686,903.839239
1759846893.9649367,41.00,683.66,8.129,911.970016
1759846894.964803,47.00,683.66,9.235,921.203757
1759846895.964938,23.00,683.66,5.389,926.593392
