ts,cpu_percent,rss_mb,power_w,energy_j_total
1759844974.430897,213.90,398.33,0.000,0.000000
1759844975.4309163,33.00,424.26,6.678,6.678205
1759844976.4310277,49.00,432.38,8.390,15.069358
1759844977.4308968,32.00,454.76,6.159,21.227851
1759844978.4310024,26.00,465.63,6.069,27.297964
1759844979.4310017,25.00,467.63,6.381,33.679174
1759844980.4309826,36.00,466.16,7.296,40.975237
1759844981.430962,15.00,466.41,4.211,45.186468
1759844982.4310305,49.00,467.41,8.272,53.459152
1759844983.4310033,14.00,467.41,5.391,58.850435
1759844984.4309652,27.00,467.66,5.490,64.339740
1759844985.4309378,24.00,467.91,5.425,69.764225
1759844986.431006,43.00,467.91,7.436,77.200669
1759844987.4307818,34.00,467.91,5.743,82.942170
1759844988.430784,35.00,467.91,6.894,89.836623
1759844989.4309602,24.00,467.91,4.770,94.607851
1759844990.4309347,49.00,726.66,9.036,103.643594
1759844991.4310293,26.00,745.41,5.174,108.817714
1759844992.4308987,47.00,769.16,8.423,117.239629
1759844993.430981,12.00,769.16,3.980,121.220148
1759844994.4310184,32.00,769.66,6.895,128.115455
1759844995.43103,11.00,769.66,4.322,132.437893
1759844996.431019,55.00,770.79,8.982,141.419315
1759844997.4308963,36.00,771.16,6.071,147.489429
1759844998.431034,52.00,771.29,8.836,156.326260
1759844999.4310298,9.00,771.29,3.237,159.562946
1759845000.4310277,61.00,771.29,9.603,169.165521
1759845001.430984,22.00,771.41,5.150,174.315166
1759845002.4310052,45.00,771.41,8.398,182.712850
1759845003.4310298,11.00,772.66,3.835,186.548045
1759845004.431028,47.00,775.04,10.741,197.289106
1759845005.4310186,25.00,775.04,6.929,204.218349
1759845006.4309368,31.00,775.04,7.182,211.399361
1759845007.4308956,22.00,775.29,4.947,216.345759
1759845008.4309928,47.00,775.29,8.665,225.011448
1759845009.4309845,23.00,775.29,5.074,230.085836
1759845010.4309576,35.00,775.29,9.951,240.036556
1759845011.4308798,10.00,775.29,3.857,243.892808
1759845012.4308977,45.00,775.41,8.657,252.550195
1759845013.430909,13.00,775.41,3.991,256.541030
1759845014.4307816,37.00,775.41,7.504,264.043818
1759845015.4307833,20.00,775.41,5.481,269.524456
1759845016.4309902,30.00,775.66,7.184,276.710351
1759845017.4310317,19.00,775.66,4.413,281.123242
1759845018.430992,33.00,775.79,6.823,287.946162
1759845019.4310308,14.00,775.79,4.055,292.001633
1759845020.4308937,36.00,775.79,7.876,299.876307
1759845021.4310281,6.00,775.79,2.849,302.726092
1759845022.4308934,41.00,776.54,7.440,310.165343
1759845023.4310305,18.00,776.66,5.162,315.328477
1759845024.4310021,28.00,777.29,6.334,321.662201
1759845025.4309292,9.00,777.29,3.994,325.655782
1759845026.4308922,58.00,777.29,9.765,335.420528
1759845027.43099,16.00,777.41,4.219,339.639999
1759845028.4308937,26.00,777.41,6.452,346.091521
1759845029.4309862,10.00,777.41,3.423,349.514791
1759845030.4309654,21.00,777.41,5.921,355.436101
1759845031.4309478,28.00,777.41,5.571,361.006766
1759845032.4310248,31.00,777.41,6.903,367.910252
1759845033.4310272,5.00,777.41,3.792,371.701807
1759845034.4310281,43.00,780.41,7.898,379.599919
1759845035.430799,15.00,780.41,4.815,384.414116
