ts,cpu_percent,rss_mb,power_w,energy_j_total
1759843979.450226,112.00,143.78,0.000,0.000000
1759843980.4502306,410.00,192.65,63.654,63.654683
1759843981.450208,430.00,235.74,65.938,129.591221
1759843982.4502044,280.00,265.86,49.702,179.293486
1759843983.4502058,367.00,269.99,60.862,240.155269
1759843984.4502335,515.00,284.61,75.433,315.590073
1759843985.4502344,438.00,300.36,69.066,384.655997
1759843986.4502358,330.00,353.11,57.547,442.203457
1759843987.450237,519.00,356.11,77.335,519.538831
1759843988.4502356,381.00,364.49,60.868,580.406717
1759843989.450233,417.00,364.86,66.152,646.558281
1759843990.4502335,359.00,365.11,60.142,706.700095
1759843991.4502046,412.00,365.74,65.696,772.393835
1759843992.4502046,280.00,368.74,50.740,823.134245
1759843993.4502044,384.00,371.99,63.586,886.719959
1759843994.4502375,419.00,359.66,66.626,953.348267
1759843995.4502327,481.00,362.79,74.418,1027.766045
1759843996.4502351,490.00,363.79,76.914,1104.680582
1759843997.450204,337.00,363.79,57.897,1162.576125
1759843998.4502044,379.00,365.04,62.499,1225.074866
1759843999.450234,390.00,372.91,64.328,1289.404902
1759844000.4502347,423.00,376.04,69.327,1358.731751
1759844001.4502316,355.00,358.73,58.897,1417.628084
1759844002.4502354,379.00,359.73,63.159,1480.787652
1759844003.450206,427.00,363.36,68.079,1548.864504
1759844004.4502366,557.00,349.45,83.645,1632.512056
1759844005.4502287,382.00,352.70,66.043,1698.554062
1759844006.4502373,433.00,361.09,71.261,1769.816026
1759844007.4502323,367.00,362.46,60.279,1830.094375
1759844008.4502027,480.00,365.21,75.202,1905.293889
1759844009.450234,263.00,372.09,50.396,1955.691099
1759844010.4502525,320.00,372.96,57.457,2013.149570
1759844011.4502034,436.00,372.96,70.672,2083.817724
1759844012.4502041,305.00,373.21,54.562,2138.380146
1759844013.4502206,392.00,294.73,65.428,2203.808933
1759844014.4502044,582.00,304.23,85.127,2288.934326
1759844015.450235,681.00,361.73,95.350,2384.287109
1759844016.450208,387.00,375.48,66.327,2450.611951
1759844017.4502099,404.00,379.61,65.854,2516.465725
1759844018.4502053,290.00,380.23,54.839,2571.304269
1759844019.450234,575.00,361.39,86.788,2658.094941
1759844020.4502037,332.00,370.77,59.802,2717.895141
1759844021.4502351,396.00,371.77,65.625,2783.521804
1759844022.4501646,321.00,372.52,58.403,2841.920703
1759844023.4502342,297.00,372.52,54.147,2896.071565
1759844024.4502046,530.00,342.40,79.629,2975.698559
1759844025.4502037,390.00,352.40,66.414,3042.112817
1759844026.4502046,592.00,366.02,88.434,3130.546490
1759844027.4502375,352.00,369.90,62.936,3193.484439
1759844028.4502025,346.00,373.27,60.479,3253.961640
1759844029.4502075,369.00,373.52,64.563,3318.525318
1759844030.450204,431.00,373.52,69.622,3388.147210
1759844031.4502442,279.00,373.52,53.558,3441.707436
1759844032.4502215,326.00,373.52,58.227,3499.933545
1759844033.4502065,483.00,376.40,77.395,3577.327206
1759844034.4502351,503.00,376.65,79.144,3656.473793
1759844035.4502327,314.00,379.40,57.227,3713.700270
1759844036.4502337,248.00,356.01,48.722,3762.421947
1759844037.4502292,386.00,356.26,67.190,3829.612083
1759844038.450242,462.00,356.26,76.314,3905.927317
1759844039.4502416,488.00,356.26,70.518,3976.445447
1759844040.4502044,435.00,356.51,39.482,4015.925876
1759844041.4503431,144.00,356.51,28.066,4043.995384
1759844042.4502048,367.10,356.51,62.975,4106.962081
1759844043.4502351,488.00,362.11,77.983,4184.947416
1759844044.450232,395.00,362.61,63.941,4248.887926
1759844045.4502432,449.00,365.48,58.003,4306.891501
1759844046.4502344,363.00,368.23,55.411,4362.302126
1759844047.4502325,233.00,373.98,46.750,4409.051823
1759844048.450235,263.00,374.73,51.882,4460.933648
1759844049.4502192,409.00,375.48,68.846,4529.778076
1759844050.450212,301.00,369.94,54.773,4584.550580
1759844051.450233,296.00,369.94,54.397,4638.949122
1759844052.4502323,446.00,372.56,71.904,4710.852869
1759844053.4502323,365.00,374.06,60.924,4771.777091
1759844054.4502065,286.00,374.06,54.534,4826.309849
1759844055.4502337,375.00,374.31,63.294,4889.605280
1759844056.4502068,329.00,374.81,54.910,4944.513587
1759844057.4502103,405.00,376.44,65.178,5009.691337
1759844058.450211,580.00,376.44,61.191,5070.882526
1759844059.4502053,591.00,376.56,56.026,5126.907956
1759844060.450245,488.00,392.56,53.389,5180.298689
1759844061.4502354,391.00,393.31,56.483,5236.781271
1759844062.450208,504.00,396.06,62.778,5299.557050
1759844063.450235,467.00,409.31,56.113,5355.671531
1759844064.4502094,602.00,412.19,62.358,5418.028183
1759844065.4502034,462.00,410.93,52.374,5470.401645
1759844066.4502068,479.00,415.68,60.341,5530.742799
1759844067.450204,297.00,415.80,49.288,5580.030209
1759844068.4502082,437.00,415.80,68.619,5648.649296
1759844069.4502363,567.00,391.02,57.725,5706.376199
1759844070.450233,373.00,397.02,57.910,5764.286391
1759844071.450205,600.00,400.14,63.717,5828.002048
1759844072.4502077,611.00,408.89,57.505,5885.506966
1759844073.4502382,577.00,414.77,53.792,5939.301018
1759844074.450208,282.00,414.77,48.378,5987.677970
1759844075.4502108,493.00,417.27,71.408,6059.086051
1759844076.4502099,655.00,423.27,59.893,6118.978903
1759844077.450291,381.90,424.77,50.924,6169.906812
1759844078.4502292,533.20,427.14,63.155,6233.058079
1759844079.4502063,470.00,427.14,54.392,6287.448503
1759844080.450233,243.00,427.14,45.864,6333.313803
1759844081.4502316,193.00,427.14,42.750,6376.063389
1759844082.4502041,336.00,427.14,61.281,6437.342285
1759844083.4502351,361.00,427.14,64.283,6501.626849
1759844084.450233,309.00,357.02,55.546,6557.172788
1759844085.450229,262.00,357.02,52.436,6609.608689
1759844086.4502316,342.00,357.14,61.589,6671.198009
1759844087.4502294,494.00,357.14,79.738,6750.935720
1759844088.4502091,465.00,361.11,70.059,6820.993646
1759844089.4502063,506.00,368.24,58.104,6879.097257
1759844090.4502041,351.00,372.61,55.721,6934.817940
1759844091.450205,548.00,377.49,62.430,6997.248322
1759844092.4502106,657.00,395.74,61.581,7058.829890
1759844093.4502366,655.00,401.99,54.544,7113.375527
1759844094.450207,426.00,403.74,52.828,7166.201625
1759844095.4502106,606.00,410.24,62.007,7228.209218
1759844096.4502065,520.00,414.11,54.252,7282.461215
1759844097.4502351,402.00,415.36,56.302,7338.764599
1759844098.4502325,376.00,415.36,58.320,7397.084457
1759844099.4502335,252.00,415.36,49.533,7446.617350
1759844100.4502373,228.00,415.36,47.087,7493.704510
1759844101.4502037,159.00,415.36,38.793,7532.496097
1759844102.4502358,157.00,415.36,36.526,7569.023714
1759844103.450208,580.00,415.36,89.336,7658.356920
1759844104.4502072,425.00,401.54,70.818,7729.174427
1759844105.4502296,425.00,403.29,73.328,7802.503585
1759844106.450205,361.00,403.29,64.407,7866.908693
1759844107.4502327,273.00,403.29,53.218,7920.128284
1759844108.4502068,448.00,403.29,69.616,7989.742974
1759844109.4502335,413.00,403.29,52.667,8042.411662
1759844110.450204,407.00,403.29,62.930,8105.339418
1759844111.4502048,381.00,351.13,52.429,8157.768239
1759844112.450234,214.00,351.13,47.850,8205.620107
1759844113.4502363,296.00,351.13,56.378,8261.998441
1759844114.4502335,363.00,351.13,64.333,8326.331040
1759844115.450214,409.00,353.00,55.137,8381.466519
1759844116.4502058,406.00,353.00,32.865,8414.330937
1759844117.450205,547.00,355.00,60.512,8474.842867
1759844118.4502063,545.00,361.13,55.665,8530.507519
1759844119.4502044,449.00,362.00,53.995,8584.502743
1759844120.4502387,479.00,365.25,60.179,8644.683680
1759844121.4502063,453.00,368.63,57.194,8701.875489
1759844122.4502356,556.00,379.13,60.732,8762.609037
1759844123.4502323,327.00,387.38,50.814,8813.423055
1759844124.4502254,439.00,388.13,65.768,8879.190526
1759844125.4502058,501.00,388.13,56.445,8935.634839
1759844126.4502041,419.00,383.35,60.035,8995.669292
1759844127.4502366,588.00,383.72,60.260,9055.930979
1759844128.4502535,461.00,382.39,56.340,9112.271777
1759844129.4502347,586.00,387.52,60.238,9172.508561
1759844130.4502044,509.00,389.02,56.707,9229.214288
1759844131.4502335,398.00,382.38,53.677,9282.892434
1759844132.4502363,321.00,385.76,57.120,9340.012466
1759844133.4502325,193.00,385.76,44.599,9384.611229
1759844134.4502032,241.00,386.51,49.896,9434.505449
1759844135.4502213,467.00,386.51,75.557,9510.063850
1759844136.450204,438.00,387.63,71.142,9581.205025
1759844137.450232,316.00,335.27,58.804,9640.011088
1759844138.450206,532.00,341.52,62.154,9702.163272
1759844139.4502351,394.00,346.77,56.009,9758.173871
1759844140.4502358,471.00,363.15,60.290,9818.464061
1759844141.4502087,445.00,372.27,56.919,9875.381701
1759844142.4502087,443.00,374.40,56.723,9932.105189
1759844143.450234,261.00,377.40,45.055,9977.160859
1759844144.4502041,280.00,377.40,54.227,10031.386062
1759844145.4502354,279.00,377.40,53.641,10085.028930
1759844146.4502046,370.00,377.40,64.350,10149.377093
1759844147.4504712,237.90,377.40,45.009,10194.398462
1759844148.4502306,242.10,363.80,45.761,10240.148101
1759844149.4502347,500.00,368.43,79.783,10319.931222
1759844150.4502044,407.00,368.43,68.542,10388.470659
1759844151.4502358,409.00,369.43,66.641,10455.113676
1759844152.4502046,382.00,369.80,64.179,10519.290209
1759844153.4502423,534.00,381.05,57.380,10576.671898
1759844154.4502041,281.00,381.80,52.926,10629.596201
1759844155.450206,560.00,386.30,66.826,10696.422385
1759844156.4502058,601.00,389.18,57.838,10754.260494
1759844157.450239,554.00,400.93,55.809,10810.071081
1759844158.4502048,425.00,401.80,53.312,10863.381186
1759844159.4502363,510.00,363.80,64.515,10927.898416
1759844160.4502327,438.00,363.80,50.200,10978.098666
1759844161.450203,233.00,363.80,47.275,11025.372593
1759844162.4502075,362.00,363.80,62.752,11088.124385
1759844163.4502342,278.00,363.80,54.471,11142.596536
1759844164.4502234,324.00,363.80,58.688,11201.284068
1759844165.4502096,441.00,356.98,71.418,11272.701427
1759844166.450206,410.00,359.36,66.497,11339.198571
1759844167.4502082,585.00,369.11,64.223,11403.421674
1759844168.4502094,689.00,377.86,59.928,11463.349316
1759844169.450206,453.00,380.86,53.719,11517.068416
1759844170.4502358,530.00,382.98,56.983,11574.053073
1759844171.450203,183.00,382.98,39.837,11613.889091
1759844172.4502094,301.00,382.98,57.495,11671.384611
1759844173.450215,431.00,387.61,71.468,11742.853117
1759844174.4502313,372.00,389.36,63.015,11805.869313
1759844175.450241,261.00,389.61,51.075,11856.944621
1759844176.450208,313.00,389.61,58.384,11915.326735
1759844177.45021,653.00,391.86,74.023,11989.349922
1759844178.4502287,316.00,391.86,46.518,12035.868785
1759844179.4502342,395.00,398.98,63.903,12099.772369
1759844180.4502065,567.00,401.48,63.686,12163.456410
1759844181.450237,596.00,407.11,57.643,12221.101343
1759844182.450235,262.00,408.61,44.481,12265.582552
1759844183.4502547,555.00,408.61,73.208,12338.792021
1759844184.4502378,653.00,423.73,57.347,12396.138004
1759844185.4502404,529.00,425.73,54.311,12450.448839
1759844186.4502356,443.00,426.61,56.008,12506.456936
1759844187.450236,504.00,401.39,59.270,12565.726926
1759844188.4502358,378.00,403.89,54.576,12620.302653
1759844189.4502342,320.00,404.39,57.712,12678.014602
1759844190.4502323,316.00,404.64,56.936,12734.950308
1759844191.4502053,322.00,404.77,59.352,12794.300864
1759844192.450208,457.00,404.77,67.770,12862.070649
1759844193.4502358,685.00,384.27,59.774,12921.846253
1759844194.450207,449.00,389.89,51.127,12972.971916
1759844195.4502354,487.00,390.64,60.313,13033.286642
1759844196.4502063,469.00,363.93,57.565,13090.850154
1759844197.4502068,423.00,363.93,58.803,13149.653348
1759844198.4502077,668.00,374.18,63.515,13213.168811
1759844199.4502075,461.00,378.55,50.201,13263.369549
1759844200.4502347,526.00,379.68,62.991,13326.361880
1759844201.450206,570.00,382.97,57.819,13384.179359
